Source,Target,Weight,Type
Ærbødigst=SaligManden=iKosthosAndhrimner_147,Manden_75,3,undirected
Ærbødigst=SaligManden=iKosthosAndhrimner_147,P_81,3,undirected
Ærbødigst=SaligManden=iKosthosAndhrimner_147,Redaktionen_156,2,undirected
Ærbødigst=SaligManden=iKosthosAndhrimner_147,Vinje_108,1,undirected
Ærbødigst=SaligManden=iKosthosAndhrimner_147,Vinje_76,3,undirected
Andhrimner_169,I_78,1,undirected
Andhrimner_169,Udgiverne_189,2,undirected
Andhrimner_169,Vinje_121,3,undirected
Andhrimner_169,Vinje_76,2,undirected
Andhrimner_169,Vinje_97,2,undirected
BrynjolfBjarme_115,BrynjolfBjarme_12,2,undirected
BrynjolfBjarme_115,BrynjolfBjarme_145,3,undirected
BrynjolfBjarme_115,Vinje_108,1,undirected
BrynjolfBjarme_12,BrynjolfBjarme_115,2,undirected
BrynjolfBjarme_12,BrynjolfBjarme_74,1,undirected
BrynjolfBjarme_12,HI_50,3,undirected
BrynjolfBjarme_12,I_78,3,undirected
BrynjolfBjarme_12,Ibsen_125,2,undirected
BrynjolfBjarme_139,BrynjolfBjarme_145,6,undirected
BrynjolfBjarme_139,BrynjolfBjarme_74,2,undirected
BrynjolfBjarme_139,Ibsen_125,1,undirected
BrynjolfBjarme_145,BrynjolfBjarme_115,3,undirected
BrynjolfBjarme_145,BrynjolfBjarme_139,6,undirected
BrynjolfBjarme_145,BrynjolfBjarme_18,2,undirected
BrynjolfBjarme_145,BrynjolfBjarme_40,3,undirected
BrynjolfBjarme_145,BrynjolfBjarme_74,3,undirected
BrynjolfBjarme_145,Ibsen_125,1,undirected
BrynjolfBjarme_145,M_183,3,undirected
BrynjolfBjarme_145,Welhaven_84,1,undirected
BrynjolfBjarme_18,BrynjolfBjarme_145,2,undirected
BrynjolfBjarme_18,BrynjolfBjarme_74,3,undirected
BrynjolfBjarme_18,BrynjolfBjarme_87,3,undirected
BrynjolfBjarme_18,Ibsen_125,1,undirected
BrynjolfBjarme_40,BrynjolfBjarme_145,3,undirected
BrynjolfBjarme_40,BrynjolfBjarme_74,1,undirected
BrynjolfBjarme_40,Ibsen_125,2,undirected
BrynjolfBjarme_40,Welhaven_84,3,undirected
BrynjolfBjarme_7,BrynjolfBjarme_87,2,undirected
BrynjolfBjarme_7,Ibsen_125,3,undirected
BrynjolfBjarme_7,Vinje_72,1,undirected
BrynjolfBjarme_74,BrynjolfBjarme_12,1,undirected
BrynjolfBjarme_74,BrynjolfBjarme_139,2,undirected
BrynjolfBjarme_74,BrynjolfBjarme_145,3,undirected
BrynjolfBjarme_74,BrynjolfBjarme_18,3,undirected
BrynjolfBjarme_74,BrynjolfBjarme_40,1,undirected
BrynjolfBjarme_74,Ibsen_125,3,undirected
BrynjolfBjarme_74,M_183,2,undirected
BrynjolfBjarme_74,PBH_180,2,undirected
BrynjolfBjarme_87,BrynjolfBjarme_18,3,undirected
BrynjolfBjarme_87,BrynjolfBjarme_7,2,undirected
BrynjolfBjarme_87,I_78,1,undirected
BrynjolfBjarme_87,PBH_180,2,undirected
HI_50,BrynjolfBjarme_12,3,undirected
HI_50,M_183,1,undirected
HI_50,Vinje_108,2,undirected
HI_50,Vinje_69,1,undirected
I_110,I_78,3,undirected
I_110,Manden_106,1,undirected
I_110,P_81,2,undirected
I_110,Stabell_111,3,undirected
I_78,Andhrimner_169,1,undirected
I_78,BrynjolfBjarme_12,3,undirected
I_78,BrynjolfBjarme_87,1,undirected
I_78,I_110,3,undirected
I_78,Ibsen_102,1,undirected
I_78,Ibsen_125,6,undirected
I_78,Ibsen_130,2,undirected
I_78,Manden_106,4,undirected
I_78,P_81,5,undirected
I_78,PBH_180,2,undirected
I_78,Udgiverne_189,1,undirected
Ibsen_102,I_78,1,undirected
Ibsen_102,Ibsen_125,2,undirected
Ibsen_102,Vinje_108,3,undirected
Ibsen_125,BrynjolfBjarme_12,2,undirected
Ibsen_125,BrynjolfBjarme_139,1,undirected
Ibsen_125,BrynjolfBjarme_145,1,undirected
Ibsen_125,BrynjolfBjarme_18,1,undirected
Ibsen_125,BrynjolfBjarme_40,2,undirected
Ibsen_125,BrynjolfBjarme_7,3,undirected
Ibsen_125,BrynjolfBjarme_74,3,undirected
Ibsen_125,I_78,6,undirected
Ibsen_125,Ibsen_102,2,undirected
Ibsen_125,P_81,1,undirected
Ibsen_125,PBH_180,5,undirected
Ibsen_130,I_78,2,undirected
Ibsen_130,P_81,3,undirected
Ibsen_130,PBH_180,1,undirected
Ibsen_130,Welhaven_88,2,undirected
M_183,BrynjolfBjarme_145,3,undirected
M_183,BrynjolfBjarme_74,2,undirected
M_183,HI_50,1,undirected
Manden_106,I_110,1,undirected
Manden_106,I_78,4,undirected
Manden_106,Manden_41,2,undirected
Manden_106,Manden_75,1,undirected
Manden_106,P_81,1,undirected
Manden_106,PBH_180,2,undirected
Manden_41,Manden_106,2,undirected
Manden_41,P_81,3,undirected
Manden_41,PBH_180,1,undirected
Manden_75,Ærbødigst=SaligManden=iKosthosAndhrimner_147,3,undirected
Manden_75,Manden_106,1,undirected
Manden_75,P_81,2,undirected
Manden_75,Stabell_111,1,undirected
Manden_75,Welhaven_88,3,undirected
P_81,Ærbødigst=SaligManden=iKosthosAndhrimner_147,3,undirected
P_81,I_110,2,undirected
P_81,I_78,5,undirected
P_81,Ibsen_125,1,undirected
P_81,Ibsen_130,3,undirected
P_81,Manden_106,1,undirected
P_81,Manden_41,3,undirected
P_81,Manden_75,2,undirected
P_81,PBH_180,3,undirected
P_81,Stabell_111,2,undirected
P_81,Udgiverne_189,3,undirected
P_81,Vinje_97,1,undirected
PBH_180,BrynjolfBjarme_74,2,undirected
PBH_180,BrynjolfBjarme_87,2,undirected
PBH_180,I_78,2,undirected
PBH_180,Ibsen_125,5,undirected
PBH_180,Ibsen_130,1,undirected
PBH_180,Manden_106,2,undirected
PBH_180,Manden_41,1,undirected
PBH_180,P_81,3,undirected
Redaktionen_156,Ærbødigst=SaligManden=iKosthosAndhrimner_147,2,undirected
Redaktionen_156,Vinje_108,3,undirected
Redaktionen_156,Vinje_76,1,undirected
Stabell_111,I_110,3,undirected
Stabell_111,Manden_75,1,undirected
Stabell_111,P_81,2,undirected
Udgiverne_189,Andhrimner_169,2,undirected
Udgiverne_189,I_78,1,undirected
Udgiverne_189,P_81,3,undirected
Vinje_108,Ærbødigst=SaligManden=iKosthosAndhrimner_147,1,undirected
Vinje_108,BrynjolfBjarme_115,1,undirected
Vinje_108,HI_50,2,undirected
Vinje_108,Ibsen_102,3,undirected
Vinje_108,Redaktionen_156,3,undirected
Vinje_108,Vinje_121,3,undirected
Vinje_108,Vinje_69,2,undirected
Vinje_108,Vinje_72,4,undirected
Vinje_108,Vinje_76,6,undirected
Vinje_108,Vinje_89,2,undirected
Vinje_108,Vinje_95,2,undirected
Vinje_121,Andhrimner_169,3,undirected
Vinje_121,Vinje_108,3,undirected
Vinje_121,Vinje_72,6,undirected
Vinje_121,Vinje_76,3,undirected
Vinje_121,Vinje_89,1,undirected
Vinje_121,Vinje_90,2,undirected
Vinje_121,Vinje_95,3,undirected
Vinje_69,HI_50,1,undirected
Vinje_69,Vinje_108,2,undirected
Vinje_69,Vinje_72,4,undirected
Vinje_69,Vinje_95,1,undirected
Vinje_72,BrynjolfBjarme_7,1,undirected
Vinje_72,Vinje_108,4,undirected
Vinje_72,Vinje_121,6,undirected
Vinje_72,Vinje_69,4,undirected
Vinje_72,Vinje_97,3,undirected
Vinje_72,Welhaven_84,2,undirected
Vinje_76,Ærbødigst=SaligManden=iKosthosAndhrimner_147,3,undirected
Vinje_76,Andhrimner_169,2,undirected
