Source,Target,Weight,Type
ansen_180,bsen_78,1,undirected
ansen_180,HI_8,1,undirected
ansen_180,Ibsen_180,3,undirected
ansen_180,PBH_122,2,undirected
BH_81,HI_65,3,undirected
BH_81,HIbsen_155,5,undirected
BH_81,Ibsen_140,2,undirected
BH_81,PBH_122,4,undirected
BH_81,PBH_133,1,undirected
BH_81,PBH_45,1,undirected
BH_81,PBH_80,3,undirected
BH_81,V_20,1,undirected
BH_81,V_25,2,undirected
BH_81,V_33,3,undirected
bsen_110,bsen_78,3,undirected
bsen_110,HI_65,2,undirected
bsen_110,PBH_80,1,undirected
bsen_50,Ibsen_129,1,undirected
bsen_50,P_28,1,undirected
bsen_50,PBH_57,3,undirected
bsen_50,V_69,1,undirected
bsen_50,Vinje_108,2,undirected
bsen_50,Vinje_183,3,undirected
bsen_78,ansen_180,1,undirected
bsen_78,bsen_110,3,undirected
bsen_78,HI_65,1,undirected
bsen_78,HI_8,2,undirected
bsen_78,HIbsen_119,3,undirected
bsen_78,HIbsen_125,1,undirected
bsen_78,HIbsen_155,3,undirected
bsen_78,Ibsen_129,3,undirected
bsen_78,Ibsen_140,3,undirected
bsen_78,Ibsen_180,1,undirected
bsen_78,Ibsen_94,2,undirected
bsen_78,OAV_171,3,undirected
bsen_78,PBH_152,3,undirected
bsen_78,PBH_80,2,undirected
HenrI_173,HIbsen_163,1,undirected
HenrI_173,PBH_134,2,undirected
HenrI_173,Vinje_76,3,undirected
HI_65,BH_81,3,undirected
HI_65,bsen_110,2,undirected
HI_65,bsen_78,1,undirected
HI_65,PBH_122,2,undirected
HI_8,ansen_180,1,undirected
HI_8,bsen_78,2,undirected
HI_8,HIbsen_155,3,undirected
HI_8,P_28,2,undirected
HIbsen_119,bsen_78,3,undirected
HIbsen_119,HIbsen_125,2,undirected
HIbsen_119,PBH_80,1,undirected
HIbsen_125,bsen_78,1,undirected
HIbsen_125,HIbsen_119,2,undirected
HIbsen_125,HIbsen_155,3,undirected
HIbsen_125,PBH_133,3,undirected
HIbsen_125,Vinje_187,2,undirected
HIbsen_155,BH_81,5,undirected
HIbsen_155,bsen_78,3,undirected
HIbsen_155,HI_8,3,undirected
HIbsen_155,HIbsen_125,3,undirected
HIbsen_155,HIbsen_163,1,undirected
HIbsen_155,HIbsen_164,2,undirected
HIbsen_155,Ibsen_150,2,undirected
HIbsen_155,Ibsen_94,1,undirected
HIbsen_155,PBH_117,4,undirected
HIbsen_155,PBH_122,2,undirected
HIbsen_155,PBH_152,1,undirected
HIbsen_155,V_130,1,undirected
HIbsen_155,V_25,1,undirected
HIbsen_155,V_60,2,undirected
HIbsen_155,V_91,2,undirected
HIbsen_155,V_97,3,undirected
HIbsen_163,HenrI_173,1,undirected
HIbsen_163,HIbsen_155,1,undirected
HIbsen_163,HIbsen_164,3,undirected
HIbsen_163,Ibsen_128,1,undirected
HIbsen_163,Vinje_76,2,undirected
HIbsen_164,HIbsen_155,2,undirected
HIbsen_164,HIbsen_163,3,undirected
HIbsen_164,Ibsen_150,4,undirected
HIbsen_164,Ibsen_159,2,undirected
HIbsen_164,P_68,1,undirected
HIbsen_164,PBH_142,1,undirected
HIbsen_164,PBH_188,2,undirected
HIbsen_164,PBH_80,2,undirected
HIbsen_164,PBH_85,6,undirected
HIbsen_164,PBH_96,1,undirected
HIbsen_164,V_130,3,undirected
I_127,Ibsen_129,2,undirected
I_127,Ibsen_94,1,undirected
I_127,V_25,3,undirected
Ibsen_118,PBH_80,3,undirected
Ibsen_118,V_15,1,undirected
Ibsen_118,V_72,1,undirected
Ibsen_118,Vinje_92,2,undirected
Ibsen_120,PBH_188,3,undirected
Ibsen_120,PBH_71,1,undirected
Ibsen_120,PBH_80,2,undirected
Ibsen_120,V_29,3,undirected
Ibsen_128,HIbsen_163,1,undirected
Ibsen_128,PBH_135,3,undirected
Ibsen_128,PBH_144,2,undirected
Ibsen_129,bsen_50,1,undirected
Ibsen_129,bsen_78,3,undirected
Ibsen_129,I_127,2,undirected
Ibsen_129,OAV_171,2,undirected
Ibsen_140,BH_81,2,undirected
Ibsen_140,bsen_78,3,undirected
Ibsen_140,PBH_122,1,undirected
Ibsen_150,HIbsen_155,2,undirected
Ibsen_150,HIbsen_164,4,undirected
Ibsen_150,Ibsen_159,4,undirected
Ibsen_150,V_97,2,undirected
Ibsen_159,HIbsen_164,2,undirected
Ibsen_159,Ibsen_150,4,undirected
Ibsen_159,PBH_188,1,undirected
Ibsen_180,ansen_180,3,undirected
Ibsen_180,bsen_78,1,undirected
Ibsen_180,Ibsen_180,6,undirected
Ibsen_180,PBH_122,2,undirected
Ibsen_94,bsen_78,2,undirected
Ibsen_94,HIbsen_155,1,undirected
Ibsen_94,I_127,1,undirected
Ibsen_94,PBH_96,3,undirected
Ibsen_99,PBH_169,3,undirected
Ibsen_99,PBH_96,1,undirected
Ibsen_99,Vinje_92,2,undirected
JBH_104,P_63,5,undirected
JBH_104,PBH_80,3,undirected
JBH_104,Vinje_76,1,undirected
OAV_171,bsen_78,3,undirected
OAV_171,Ibsen_129,2,undirected
OAV_171,PBH_152,2,undirected
OAV_171,PBH_57,1,undirected
OAV_171,Vinje_183,2,undirected
P_28,bsen_50,1,undirected
P_28,HI_8,2,undirected
P_28,Vinje_183,3,undirected
P_63,JBH_104,5,undirected
P_63,PBH_71,1,undirected
P_63,PBH_80,2,undirected
P_66,PBH_169,2,undirected
P_66,PBH_80,3,undirected
P_66,Vinje_187,1,undirected
P_68,HIbsen_164,1,undirected
P_68,PBH_188,2,undirected
P_68,PBH_71,3,undirected
P_68,V_29,1,undirected
PBH_103,PBH_147,2,undirected
PBH_103,PBH_175,1,undirected
PBH_103,PBH_188,1,undirected
PBH_103,PBH_45,2,undirected
PBH_103,PBH_71,2,undirected
PBH_103,PBH_80,6,undirected
PBH_103,PBH_96,5,undirected
PBH_103,V_14,2,undirected
PBH_117,HIbsen_155,4,undirected
PBH_117,PBH_80,2,undirected
PBH_117,PBH_96,1,undirected
PBH_117,V_55,1,undirected
PBH_122,ansen_180,2,undirected
PBH_122,BH_81,4,undirected
PBH_122,HI_65,2,undirected
PBH_122,HIbsen_155,2,undirected
PBH_122,Ibsen_140,1,undirected
PBH_122,Ibsen_180,2,undirected
PBH_122,PBH_134,1,undirected
PBH_122,PBH_141,3,undirected
PBH_133,BH_81,1,undirected
PBH_133,HIbsen_125,3,undirected
PBH_133,PBH_57,2,undirected
PBH_134,HenrI_173,2,undirected
PBH_134,PBH_122,1,undirected
PBH_134,PBH_135,3,undirected
PBH_134,PBH_141,1,undirected
PBH_134,PBH_144,5,undirected
PBH_134,PBH_57,2,undirected
PBH_134,PBH_80,5,undirected
PBH_134,V_29,2,undirected
PBH_134,Vinje_108,4,undirected
PBH_134,Vinje_124,1,undirected
PBH_134,Vinje_182,2,undirected
PBH_134,Vinje_187,3,undirected
PBH_134,Vinje_34,1,undirected
PBH_134,Vinje_76,2,undirected
PBH_134,Vinje_92,3,undirected
PBH_135,Ibsen_128,3,undirected
PBH_135,PBH_134,3,undirected
PBH_135,PBH_144,4,undirected
PBH_135,PBH_147,1,undirected
PBH_135,PBH_80,1,undirected
PBH_135,V_54,1,undirected
PBH_141,PBH_122,3,undirected
PBH_141,PBH_134,1,undirected
PBH_141,Vinje_121,2,undirected
PBH_142,HIbsen_164,1,undirected
PBH_142,PBH_96,4,undirected
PBH_142,Vinje_76,3,undirected
PBH_144,Ibsen_128,2,undirected
PBH_144,PBH_134,5,undirected
PBH_144,PBH_135,4,undirected
PBH_144,PBH_77,1,undirected
PBH_144,PBH_80,1,undirected
PBH_147,PBH_103,2,undirected
PBH_147,PBH_135,1,undirected
PBH_147,PBH_80,3,undirected
PBH_147,V_20,2,undirected
PBH_147,V_6,1,undirected
PBH_147,Vinje_182,3,undirected
PBH_152,bsen_78,3,undirected
PBH_152,HIbsen_155,1,undirected
PBH_152,OAV_171,2,undirected
PBH_152,PBH_169,6,undirected
PBH_152,V_55,2,undirected
PBH_169,Ibsen_99,3,undirected
PBH_169,P_66,2,undirected
PBH_169,PBH_152,6,undirected
PBH_169,PBH_57,2,undirected
PBH_169,PBH_80,1,undirected
PBH_169,V_13,2,undirected
PBH_169,V_179,3,undirected
PBH_169,V_3,2,undirected
PBH_175,PBH_103,1,undirected
PBH_175,V_3,3,undirected
PBH_175,Vinje_124,2,undirected
PBH_188,HIbsen_164,2,undirected
PBH_188,Ibsen_120,3,undirected
PBH_188,Ibsen_159,1,undirected
PBH_188,P_68,2,undirected
PBH_188,PBH_103,1,undirected
PBH_188,PBH_80,3,undirected
PBH_188,V_130,2,undirected
PBH_45,BH_81,1,undirected
PBH_45,PBH_103,2,undirected
PBH_45,PBH_80,3,undirected
PBH_48,V_69,2,undirected
PBH_48,V_72,3,undirected
PBH_48,Vinje_121,1,undirected
PBH_57,bsen_50,3,undirected
PBH_57,OAV_171,1,undirected
PBH_57,PBH_133,2,undirected
PBH_57,PBH_134,2,undirected
PBH_57,PBH_169,2,undirected
PBH_57,PBH_96,1,undirected
PBH_57,Vinje_108,5,undirected
PBH_57,Vinje_183,1,undirected
PBH_71,Ibsen_120,1,undirected
PBH_71,P_63,1,undirected
PBH_71,P_68,3,undirected
PBH_71,PBH_103,2,undirected
PBH_71,PBH_80,4,undirected
PBH_71,PBH_85,4,undirected
PBH_71,V_14,3,undirected
PBH_71,V_26,2,undirected
PBH_71,V_60,1,undirected
PBH_71,V_91,3,undirected
PBH_77,PBH_144,1,undirected
PBH_77,PBH_85,3,undirected
PBH_77,V_27,2,undirected
PBH_77,V_69,1,undirected
PBH_77,Vinje_76,2,undirected
PBH_80,BH_81,3,undirected
PBH_80,bsen_110,1,undirected
PBH_80,bsen_78,2,undirected
PBH_80,HIbsen_119,1,undirected
PBH_80,HIbsen_164,2,undirected
PBH_80,Ibsen_118,3,undirected
PBH_80,Ibsen_120,2,undirected
PBH_80,JBH_104,3,undirected
PBH_80,P_63,2,undirected
PBH_80,P_66,3,undirected
PBH_80,PBH_103,6,undirected
PBH_80,PBH_117,2,undirected
PBH_80,PBH_134,5,undirected
PBH_80,PBH_135,1,undirected
PBH_80,PBH_144,1,undirected
PBH_80,PBH_147,3,undirected
PBH_80,PBH_169,1,undirected
PBH_80,PBH_188,3,undirected
PBH_80,PBH_45,3,undirected
PBH_80,PBH_71,4,undirected
PBH_80,V_179,1,undirected
PBH_80,V_33,1,undirected
PBH_80,Vinje_124,2,undirected
PBH_80,Vinje_187,1,undirected
PBH_80,Vinje_92,1,undirected
PBH_85,HIbsen_164,6,undirected
PBH_85,PBH_71,4,undirected
PBH_85,PBH_77,3,undirected
PBH_85,V_27,1,undirected
PBH_85,Vinje_76,4,undirected
PBH_96,HIbsen_164,1,undirected
PBH_96,Ibsen_94,3,undirected
PBH_96,Ibsen_99,1,undirected
PBH_96,PBH_103,5,undirected
PBH_96,PBH_117,1,undirected
PBH_96,PBH_142,4,undirected
PBH_96,PBH_57,1,undirected
PBH_96,V_14,1,undirected
V_13,PBH_169,2,undirected
V_13,V_72,1,undirected
V_13,Vinje_76,3,undirected
V_130,HIbsen_155,1,undirected
V_130,HIbsen_164,3,undirected
V_130,PBH_188,2,undirected
V_14,PBH_103,2,undirected
V_14,PBH_71,3,undirected
V_14,PBH_96,1,undirected
V_15,Ibsen_118,1,undirected
V_15,Vinje_34,3,undirected
V_15,Vinje_92,2,undirected
V_179,PBH_169,3,undirected
V_179,PBH_80,1,undirected
V_179,Vinje_92,2,undirected
V_20,BH_81,1,undirected
V_20,PBH_147,2,undirected
V_20,V_33,2,undirected
V_20,V_54,3,undirected
V_20,V&PBH_93,2,undirected
V_24,Vinje_108,1,undirected
V_24,Vinje_121,3,undirected
V_24,Vinje_76,2,undirected
V_25,BH_81,2,undirected
V_25,HIbsen_155,1,undirected
V_25,I_127,3,undirected
V_25,Vinje_124,3,undirected
V_26,PBH_71,2,undirected
V_26,Vinje_124,3,undirected
V_26,Vinje_92,1,undirected
V_27,PBH_77,2,undirected
V_27,PBH_85,1,undirected
V_27,Vinje_76,3,undirected
V_29,Ibsen_120,3,undirected
V_29,P_68,1,undirected
V_29,PBH_134,2,undirected
V_3,PBH_169,2,undirected
V_3,PBH_175,3,undirected
V_3,Vinje_108,3,undirected
V_3,Vinje_76,1,undirected
V_33,BH_81,3,undirected
V_33,PBH_80,1,undirected
V_33,V_20,2,undirected
V_54,PBH_135,1,undirected
V_54,V_20,3,undirected
V_54,V_6,5,undirected
V_54,Vinje_124,6,undirected
V_55,PBH_117,1,undirected
V_55,PBH_152,2,undirected
V_55,Vinje_108,3,undirected
V_6,PBH_147,1,undirected
V_6,V_54,5,undirected
V_6,V&PBH_93,1,undirected
V_6,Vinje_124,2,undirected
V_6,Vinje_153,3,undirected
V_6,Vinje_182,1,undirected
V_60,HIbsen_155,2,undirected
V_60,PBH_71,1,undirected
V_60,Vinje_76,3,undirected
V_69,bsen_50,1,undirected
V_69,PBH_48,2,undirected
V_69,PBH_77,1,undirected
V_69,V_72,4,undirected
V_69,Vinje_108,2,undirected
V_69,Vinje_153,1,undirected
V_69,Vinje_98,3,undirected
V_72,Ibsen_118,1,undirected
V_72,PBH_48,3,undirected
V_72,V_13,1,undirected
V_72,V_69,4,undirected
V_72,V_97,1,undirected
V_72,Vinje_108,3,undirected
V_72,Vinje_121,5,undirected
V_91,HIbsen_155,2,undirected
V_91,PBH_71,3,undirected
V_91,Vinje_76,1,undirected
V_97,HIbsen_155,3,undirected
V_97,Ibsen_150,2,undirected
V_97,V_72,1,undirected
V&PBH_93,V_20,2,undirected
V&PBH_93,V_6,1,undirected
V&PBH_93,Vinje_108,3,undirected
Vinje_108,bsen_50,2,undirected
Vinje_108,PBH_134,4,undirected
Vinje_108,PBH_57,5,undirected
Vinje_108,V_24,1,undirected
Vinje_108,V_3,3,undirected
Vinje_108,V_55,3,undirected
Vinje_108,V_69,2,undirected
Vinje_108,V_72,3,undirected
Vinje_108,V&PBH_93,3,undirected
Vinje_108,Vinje_121,2,undirected
Vinje_108,Vinje_76,2,undirected
Vinje_121,PBH_141,2,undirected
Vinje_121,PBH_48,1,undirected
Vinje_121,V_24,3,undirected
Vinje_121,V_72,5,undirected
Vinje_121,Vinje_108,2,undirected
Vinje_121,Vinje_153,2,undirected
Vinje_121,Vinje_76,1,undirected
Vinje_121,Vinje_98,1,undirected
Vinje_124,PBH_134,1,undirected
Vinje_124,PBH_175,2,undirected
Vinje_124,PBH_80,2,undirected
Vinje_124,V_25,3,undirected
Vinje_124,V_26,3,undirected
Vinje_124,V_54,6,undirected
Vinje_124,V_6,2,undirected
Vinje_153,V_6,3,undirected
Vinje_153,V_69,1,undirected
Vinje_153,Vinje_121,2,undirected
Vinje_182,PBH_134,2,undirected
Vinje_182,PBH_147,3,undirected
Vinje_182,V_6,1,undirected
Vinje_183,bsen_50,3,undirected
Vinje_183,OAV_171,2,undirected
Vinje_183,P_28,3,undirected
Vinje_183,PBH_57,1,undirected
Vinje_187,HIbsen_125,2,undirected
Vinje_187,P_66,1,undirected
Vinje_187,PBH_134,3,undirected
Vinje_187,PBH_80,1,undirected
Vinje_187,Vinje_34,5,undirected
Vinje_187,Vinje_36,2,undirected
Vinje_187,Vinje_92,2,undirected
Vinje_187,Vinje_98,2,undirected
Vinje_34,PBH_134,1,undirected
Vinje_34,V_15,3,undirected
Vinje_34,Vinje_187,5,undirected
Vinje_34,Vinje_36,3,undirected
Vinje_34,Vinje_92,2,undirected
Vinje_36,Vinje_187,2,undirected
Vinje_36,Vinje_34,3,undirected
Vinje_36,Vinje_92,1,undirected
Vinje_76,HenrI_173,3,undirected
Vinje_76,HIbsen_163,2,undirected
Vinje_76,JBH_104,1,undirected
Vinje_76,PBH_134,2,undirected
Vinje_76,PBH_142,3,undirected
Vinje_76,PBH_77,2,undirected
Vinje_76,PBH_85,4,undirected
Vinje_76,V_13,3,undirected
Vinje_76,V_24,2,undirected
Vinje_76,V_27,3,undirected
Vinje_76,V_3,1,undirected
Vinje_76,V_60,3,undirected
Vinje_76,V_91,1,undirected
Vinje_76,Vinje_108,2,undirected
Vinje_76,Vinje_121,1,undirected
Vinje_92,Ibsen_118,2,undirected
Vinje_92,Ibsen_99,2,undirected
Vinje_92,PBH_134,3,undirected
Vinje_92,PBH_80,1,undirected
Vinje_92,V_15,2,undirected
